
Fuel Cell Controller
Horizon H-100 Stack
(c) Simon Howroyd 2013
Loughborough University

controller  Copyright (C) 2013  Simon Howroyd
This program comes with ABSOLUTELY NO WARRANTY; for details type `show w'.
This is free software, and you are welcome to redistribute it,
under certain conditions; type `show c' for details.

Mon Jan 27 15:01:37 2014


 1390834899.53548	0.000000	OFF	v1 	 22.003710	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.72	PF 	 10.0	
 1390834899.586413	0.000000	OFF	v1 	 22.003710	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.72	PF 	 10.0	
 1390834899.644241	0.000000	OFF	v1 	 22.003710	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.72	PF 	 10.0	
 1390834899.700023	0.000000	OFF	v1 	 22.003710	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.72	PF 	 10.0	
 1390834899.757381	0.000000	OFF	v1 	 22.003710	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.72	PF 	 10.0	
 1390834899.813598	0.000000	OFF	v1 	 22.003710	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.72	PF 	 10.0	
 1390834899.872154	0.000000	OFF	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834899.929744	0.000000	OFF	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834899.981468	0.000000	OFF	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834900.037752	0.000000	OFF	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834900.091025	0.000000	OFF	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834900.147851	0.000000	OFF	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834900.203112	0.000000	OFF	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834900.256682	0.000000	OFF	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834900.333504	0.000000	OFF	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834900.388396	0.000000	OFF	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834900.445272	0.000000	OFF	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834900.494959	0.000000	OFF	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834900.548919	0.000000	OFF	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834900.603737	0.000000	OFF	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834900.66089	0.000000	OFF	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834900.714819	0.000000	OFF	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834900.767084	0.000000	OFF	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834900.84287	0.000000	STA	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
 1390834900.869665	0.000000	STA	v1 	 21.992838	a1 	 0.385817	tB 	 -1.000000	tE 	 -1.000000	tR 	 -1.000000	tY 	 -1.000000	OK	vE 	 2.71	PF 	 10.0	
