
Fuel Cell Controller
Horizon H-100 Stack
(c) Simon Howroyd 2013
Loughborough University

controller  Copyright (C) 2013  Simon Howroyd
This program comes with ABSOLUTELY NO WARRANTY; for details type `show w'.
This is free software, and you are welcome to redistribute it,
under certain conditions; type `show c' for details.

Tue Jan 28 13:59:36 2014


 1390917579.158914	0.000000	STA	v1 	 0.102328	a1 	 0.385817	p1 	 0.039480	t 	 -1.000000	OK	PF 	 30.0	
 1390917579.192371	0.000000	STA	v1 	 0.102328	a1 	 0.385817	p1 	 0.039480	t 	 -1.000000	OK	PF 	 30.0	
 1390917579.228265	0.000000	STA	v1 	 0.102328	a1 	 0.385817	p1 	 0.039480	t 	 -1.000000	OK	PF 	 30.0	
 1390917579.271059	0.000000	STA	v1 	 0.102328	a1 	 0.385817	p1 	 0.039480	t 	 -1.000000	OK	PF 	 30.0	
 1390917579.300051	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917579.331329	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917579.366716	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917579.400556	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917579.436791	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917579.469355	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917579.516887	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917579.55215	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917579.586261	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
 1390917579.621933	0.000000	STA	v1 	 22.522385	a1 	 0.385817	p1 	 8.689517	t 	 -1.000000	OK	PF 	 30.0	
