
Fuel Cell Controller
Horizon H-100 Stack
(c) Simon Howroyd 2013
Loughborough University

controller  Copyright (C) 2013  Simon Howroyd
This program comes with ABSOLUTELY NO WARRANTY; for details type `show w'.
This is free software, and you are welcome to redistribute it,
under certain conditions; type `show c' for details.

Tue Jan 28 14:01:52 2014


 1390917715.078527	0.000000	STA	v1 	 21.751088	a1 	 0.385817	p1 	 8.391938	t 	 -1.000000	OK	PF 	 15.0	
 1390917715.110196	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917715.14137	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917715.182569	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917715.218436	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917715.242231	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917715.281188	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917715.320818	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917715.350294	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917715.390785	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917715.421031	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917715.459772	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917715.497685	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917715.532122	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917715.566821	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917715.600468	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917715.643464	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917715.669626	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917715.710054	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917715.752845	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917715.780405	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917715.823777	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917715.848131	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917715.893512	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917715.917652	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917715.951149	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917715.98628	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917716.020231	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917716.063422	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917716.086011	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917716.121552	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
 1390917716.149995	0.000000	STA	v1 	 21.951906	a1 	 0.385817	p1 	 8.469417	t 	 -1.000000	OK	PF 	 15.0	
